Year,Country,R&D Spending (millions euros),Notes
2012,Slovakia,n.a.,"Austria, croatia, finland, france, greece, Ireland, netherlands, portugal,
Slovenia: 2011; czech Republic: 2009 data; cyprus: 2007 data
belgium, croatia, Denmark, france, greece, Ireland, Italy, netherlands,
norway (lMI members), poland, Romania, Slovenia, Sweden
(lIf members), Switzerland (Interpharma members), Turkey: estimate"
2012,Slovenia,164,"Austria, croatia, finland, france, greece, Ireland, netherlands, portugal,
Slovenia: 2011; czech Republic: 2009 data; cyprus: 2007 data
belgium, croatia, Denmark, france, greece, Ireland, Italy, netherlands,
norway (lMI members), poland, Romania, Slovenia, Sweden
(lIf members), Switzerland (Interpharma members), Turkey: estimate"
2012,Spain,997,"Austria, croatia, finland, france, greece, Ireland, netherlands, portugal,
Slovenia: 2011; czech Republic: 2009 data; cyprus: 2007 data
belgium, croatia, Denmark, france, greece, Ireland, Italy, netherlands,
norway (lMI members), poland, Romania, Slovenia, Sweden
(lIf members), Switzerland (Interpharma members), Turkey: estimate"
2012,Sweden,942,"Austria, croatia, finland, france, greece, Ireland, netherlands, portugal,
Slovenia: 2011; czech Republic: 2009 data; cyprus: 2007 data
belgium, croatia, Denmark, france, greece, Ireland, Italy, netherlands,
norway (lMI members), poland, Romania, Slovenia, Sweden
(lIf members), Switzerland (Interpharma members), Turkey: estimate"
2012,Switzerland,"4,965","Austria, croatia, finland, france, greece, Ireland, netherlands, portugal,
Slovenia: 2011; czech Republic: 2009 data; cyprus: 2007 data
belgium, croatia, Denmark, france, greece, Ireland, Italy, netherlands,
norway (lMI members), poland, Romania, Slovenia, Sweden
(lIf members), Switzerland (Interpharma members), Turkey: estimate"
2012,Turkey,83,"Austria, croatia, finland, france, greece, Ireland, netherlands, portugal,
Slovenia: 2011; czech Republic: 2009 data; cyprus: 2007 data
belgium, croatia, Denmark, france, greece, Ireland, Italy, netherlands,
norway (lMI members), poland, Romania, Slovenia, Sweden
(lIf members), Switzerland (Interpharma members), Turkey: estimate"
2012,United Kingdom,"5,187","Austria, croatia, finland, france, greece, Ireland, netherlands, portugal,
Slovenia: 2011; czech Republic: 2009 data; cyprus: 2007 data
belgium, croatia, Denmark, france, greece, Ireland, Italy, netherlands,
norway (lMI members), poland, Romania, Slovenia, Sweden
(lIf members), Switzerland (Interpharma members), Turkey: estimate"
2013,Austria,453,"Netherlands: 2011 data
 Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy,
Netherlands, Norway (LMI members), Poland, Romania, Slovenia, Sweden
(LIF members), Switzerland (Interpharma members), Turkey: estimate"
2013,Belgium,"2,493","Netherlands: 2011 data
 Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy,
Netherlands, Norway (LMI members), Poland, Romania, Slovenia, Sweden
(LIF members), Switzerland (Interpharma members), Turkey: estimate"
2013,Bulgaria,n.a.,"Netherlands: 2011 data
 Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy,
Netherlands, Norway (LMI members), Poland, Romania, Slovenia, Sweden
(LIF members), Switzerland (Interpharma members), Turkey: estimate"
2013,Croatia,40,"Netherlands: 2011 data
 Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy,
Netherlands, Norway (LMI members), Poland, Romania, Slovenia, Sweden
(LIF members), Switzerland (Interpharma members), Turkey: estimate"
2013,Cyprus,85,"Netherlands: 2011 data
 Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy,
Netherlands, Norway (LMI members), Poland, Romania, Slovenia, Sweden
(LIF members), Switzerland (Interpharma members), Turkey: estimate"
2013,Czech Republic,77,"Netherlands: 2011 data
 Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy,
Netherlands, Norway (LMI members), Poland, Romania, Slovenia, Sweden
(LIF members), Switzerland (Interpharma members), Turkey: estimate"
2013,Denmark,"1,411","Netherlands: 2011 data
 Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy,
Netherlands, Norway (LMI members), Poland, Romania, Slovenia, Sweden
(LIF members), Switzerland (Interpharma members), Turkey: estimate"
2013,Estonia,n.a.,"Netherlands: 2011 data
 Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy,
Netherlands, Norway (LMI members), Poland, Romania, Slovenia, Sweden
(LIF members), Switzerland (Interpharma members), Turkey: estimate"
2013,Finland,171,"Netherlands: 2011 data
 Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy,
Netherlands, Norway (LMI members), Poland, Romania, Slovenia, Sweden
(LIF members), Switzerland (Interpharma members), Turkey: estimate"
2013,France,"4,789","Netherlands: 2011 data
 Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy,
Netherlands, Norway (LMI members), Poland, Romania, Slovenia, Sweden
(LIF members), Switzerland (Interpharma members), Turkey: estimate"
2013,Germany,"6,063","Netherlands: 2011 data
 Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy,
Netherlands, Norway (LMI members), Poland, Romania, Slovenia, Sweden
(LIF members), Switzerland (Interpharma members), Turkey: estimate"
2013,Greece,80,"Netherlands: 2011 data
 Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy,
Netherlands, Norway (LMI members), Poland, Romania, Slovenia, Sweden
(LIF members), Switzerland (Interpharma members), Turkey: estimate"
2013,Hungary,158,"Netherlands: 2011 data
 Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy,
Netherlands, Norway (LMI members), Poland, Romania, Slovenia, Sweden
(LIF members), Switzerland (Interpharma members), Turkey: estimate"
2013,Ireland,305,"Netherlands: 2011 data
 Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy,
Netherlands, Norway (LMI members), Poland, Romania, Slovenia, Sweden
(LIF members), Switzerland (Interpharma members), Turkey: estimate"
2013,Italy,"1,220","Netherlands: 2011 data
 Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy,
Netherlands, Norway (LMI members), Poland, Romania, Slovenia, Sweden
(LIF members), Switzerland (Interpharma members), Turkey: estimate"
2013,Latvia,n.a.,"Netherlands: 2011 data
 Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy,
Netherlands, Norway (LMI members), Poland, Romania, Slovenia, Sweden
(LIF members), Switzerland (Interpharma members), Turkey: estimate"
2013,Lithuania,n.a.,"Netherlands: 2011 data
 Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy,
Netherlands, Norway (LMI members), Poland, Romania, Slovenia, Sweden
(LIF members), Switzerland (Interpharma members), Turkey: estimate"
2013,Malta,n.a.,"Netherlands: 2011 data
 Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy,
Netherlands, Norway (LMI members), Poland, Romania, Slovenia, Sweden
(LIF members), Switzerland (Interpharma members), Turkey: estimate"
2013,Netherlands,642,"Netherlands: 2011 data
 Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy,
Netherlands, Norway (LMI members), Poland, Romania, Slovenia, Sweden
(LIF members), Switzerland (Interpharma members), Turkey: estimate"
2013,Norway,124,"Netherlands: 2011 data
 Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy,
Netherlands, Norway (LMI members), Poland, Romania, Slovenia, Sweden
(LIF members), Switzerland (Interpharma members), Turkey: estimate"
2013,Poland,203,"Netherlands: 2011 data
 Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy,
Netherlands, Norway (LMI members), Poland, Romania, Slovenia, Sweden
(LIF members), Switzerland (Interpharma members), Turkey: estimate"
2013,Portugal,90,"Netherlands: 2011 data
 Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy,
Netherlands, Norway (LMI members), Poland, Romania, Slovenia, Sweden
(LIF members), Switzerland (Interpharma members), Turkey: estimate"
2013,Romania,250,"Netherlands: 2011 data
 Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy,
Netherlands, Norway (LMI members), Poland, Romania, Slovenia, Sweden
(LIF members), Switzerland (Interpharma members), Turkey: estimate"
2013,Serbia,n.a.,"Netherlands: 2011 data
 Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy,
Netherlands, Norway (LMI members), Poland, Romania, Slovenia, Sweden
(LIF members), Switzerland (Interpharma members), Turkey: estimate"
2013,Slovakia,n.a.,"Netherlands: 2011 data
 Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy,
Netherlands, Norway (LMI members), Poland, Romania, Slovenia, Sweden
(LIF members), Switzerland (Interpharma members), Turkey: estimate"
2013,Slovenia,165,"Netherlands: 2011 data
 Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy,
Netherlands, Norway (LMI members), Poland, Romania, Slovenia, Sweden
(LIF members), Switzerland (Interpharma members), Turkey: estimate"
2013,Spain,885,"Netherlands: 2011 data
 Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy,
Netherlands, Norway (LMI members), Poland, Romania, Slovenia, Sweden
(LIF members), Switzerland (Interpharma members), Turkey: estimate"
2013,Sweden,800,"Netherlands: 2011 data
 Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy,
Netherlands, Norway (LMI members), Poland, Romania, Slovenia, Sweden
(LIF members), Switzerland (Interpharma members), Turkey: estimate"
2013,Switzerland,"5,048","Netherlands: 2011 data
 Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy,
Netherlands, Norway (LMI members), Poland, Romania, Slovenia, Sweden
(LIF members), Switzerland (Interpharma members), Turkey: estimate"
2013,Turkey,83,"Netherlands: 2011 data
 Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy,
Netherlands, Norway (LMI members), Poland, Romania, Slovenia, Sweden
(LIF members), Switzerland (Interpharma members), Turkey: estimate"
2013,United Kingdom,"4,807","Netherlands: 2011 data
 Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy,
Netherlands, Norway (LMI members), Poland, Romania, Slovenia, Sweden
(LIF members), Switzerland (Interpharma members), Turkey: estimate"
2014,Austria,650,"Austria, Cyprus, France, Greece, Ireland, Norway, Portugal: 2013 data; Czech Republic, Hungary: 2012 data; Croatia, Netherlands:
2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2014,Belgium,"2,453","Austria, Cyprus, France, Greece, Ireland, Norway, Portugal: 2013 data; Czech Republic, Hungary: 2012 data; Croatia, Netherlands:
2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2014,Bulgaria,n.a.,"Austria, Cyprus, France, Greece, Ireland, Norway, Portugal: 2013 data; Czech Republic, Hungary: 2012 data; Croatia, Netherlands:
2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2014,Croatia,40,"Austria, Cyprus, France, Greece, Ireland, Norway, Portugal: 2013 data; Czech Republic, Hungary: 2012 data; Croatia, Netherlands:
2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2014,Cyprus,85,"Austria, Cyprus, France, Greece, Ireland, Norway, Portugal: 2013 data; Czech Republic, Hungary: 2012 data; Croatia, Netherlands:
2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2014,Czech Republic,77,"Austria, Cyprus, France, Greece, Ireland, Norway, Portugal: 2013 data; Czech Republic, Hungary: 2012 data; Croatia, Netherlands:
2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2014,Denmark,"1,453","Austria, Cyprus, France, Greece, Ireland, Norway, Portugal: 2013 data; Czech Republic, Hungary: 2012 data; Croatia, Netherlands:
2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2014,Estonia,n.a.,"Austria, Cyprus, France, Greece, Ireland, Norway, Portugal: 2013 data; Czech Republic, Hungary: 2012 data; Croatia, Netherlands:
2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2014,Finland,197,"Austria, Cyprus, France, Greece, Ireland, Norway, Portugal: 2013 data; Czech Republic, Hungary: 2012 data; Croatia, Netherlands:
2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2014,France,"4,564","Austria, Cyprus, France, Greece, Ireland, Norway, Portugal: 2013 data; Czech Republic, Hungary: 2012 data; Croatia, Netherlands:
2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2014,Germany,"5,813","Austria, Cyprus, France, Greece, Ireland, Norway, Portugal: 2013 data; Czech Republic, Hungary: 2012 data; Croatia, Netherlands:
2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2014,Greece,80,"Austria, Cyprus, France, Greece, Ireland, Norway, Portugal: 2013 data; Czech Republic, Hungary: 2012 data; Croatia, Netherlands:
2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2014,Hungary,158,"Austria, Cyprus, France, Greece, Ireland, Norway, Portugal: 2013 data; Czech Republic, Hungary: 2012 data; Croatia, Netherlands:
2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2014,Ireland,305,"Austria, Cyprus, France, Greece, Ireland, Norway, Portugal: 2013 data; Czech Republic, Hungary: 2012 data; Croatia, Netherlands:
2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2014,Italy,"1,350","Austria, Cyprus, France, Greece, Ireland, Norway, Portugal: 2013 data; Czech Republic, Hungary: 2012 data; Croatia, Netherlands:
2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2014,Latvia,n.a.,"Austria, Cyprus, France, Greece, Ireland, Norway, Portugal: 2013 data; Czech Republic, Hungary: 2012 data; Croatia, Netherlands:
2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2014,Lithuania,n.a.,"Austria, Cyprus, France, Greece, Ireland, Norway, Portugal: 2013 data; Czech Republic, Hungary: 2012 data; Croatia, Netherlands:
2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2014,Malta,n.a.,"Austria, Cyprus, France, Greece, Ireland, Norway, Portugal: 2013 data; Czech Republic, Hungary: 2012 data; Croatia, Netherlands:
2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2014,Netherlands,642,"Austria, Cyprus, France, Greece, Ireland, Norway, Portugal: 2013 data; Czech Republic, Hungary: 2012 data; Croatia, Netherlands:
2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2014,Norway,124,"Austria, Cyprus, France, Greece, Ireland, Norway, Portugal: 2013 data; Czech Republic, Hungary: 2012 data; Croatia, Netherlands:
2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2014,Poland,274,"Austria, Cyprus, France, Greece, Ireland, Norway, Portugal: 2013 data; Czech Republic, Hungary: 2012 data; Croatia, Netherlands:
2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2014,Portugal,85,"Austria, Cyprus, France, Greece, Ireland, Norway, Portugal: 2013 data; Czech Republic, Hungary: 2012 data; Croatia, Netherlands:
2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2014,Romania,180,"Austria, Cyprus, France, Greece, Ireland, Norway, Portugal: 2013 data; Czech Republic, Hungary: 2012 data; Croatia, Netherlands:
2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2014,Russia,197,"Austria, Cyprus, France, Greece, Ireland, Norway, Portugal: 2013 data; Czech Republic, Hungary: 2012 data; Croatia, Netherlands:
2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2014,Serbia,n.a.,"Austria, Cyprus, France, Greece, Ireland, Norway, Portugal: 2013 data; Czech Republic, Hungary: 2012 data; Croatia, Netherlands:
2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2014,Slovakia,n.a.,"Austria, Cyprus, France, Greece, Ireland, Norway, Portugal: 2013 data; Czech Republic, Hungary: 2012 data; Croatia, Netherlands:
2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2014,Slovenia,161,"Austria, Cyprus, France, Greece, Ireland, Norway, Portugal: 2013 data; Czech Republic, Hungary: 2012 data; Croatia, Netherlands:
2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2014,Spain,953,"Austria, Cyprus, France, Greece, Ireland, Norway, Portugal: 2013 data; Czech Republic, Hungary: 2012 data; Croatia, Netherlands:
2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2014,Sweden,765,"Austria, Cyprus, France, Greece, Ireland, Norway, Portugal: 2013 data; Czech Republic, Hungary: 2012 data; Croatia, Netherlands:
2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2014,Switzerland,"5,338","Austria, Cyprus, France, Greece, Ireland, Norway, Portugal: 2013 data; Czech Republic, Hungary: 2012 data; Croatia, Netherlands:
2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2014,Turkey,75,"Austria, Cyprus, France, Greece, Ireland, Norway, Portugal: 2013 data; Czech Republic, Hungary: 2012 data; Croatia, Netherlands:
2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2014,United Kingdom,"4,868","Austria, Cyprus, France, Greece, Ireland, Norway, Portugal: 2013 data; Czech Republic, Hungary: 2012 data; Croatia, Netherlands:
2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2015,Austria,285,"Portugal, France: 2014 data; Austria, Cyprus, Greece, Hungary, Ireland, Slovenia: 2013 data; Czech Republic: 2012 data; Croatia,
Netherlands: 2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2015,Belgium,"2,589","Portugal, France: 2014 data; Austria, Cyprus, Greece, Hungary, Ireland, Slovenia: 2013 data; Czech Republic: 2012 data; Croatia,
Netherlands: 2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2015,Bulgaria,n.a,"Portugal, France: 2014 data; Austria, Cyprus, Greece, Hungary, Ireland, Slovenia: 2013 data; Czech Republic: 2012 data; Croatia,
Netherlands: 2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2015,Croatia,40,"Portugal, France: 2014 data; Austria, Cyprus, Greece, Hungary, Ireland, Slovenia: 2013 data; Czech Republic: 2012 data; Croatia,
Netherlands: 2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2015,Cyprus,85,"Portugal, France: 2014 data; Austria, Cyprus, Greece, Hungary, Ireland, Slovenia: 2013 data; Czech Republic: 2012 data; Croatia,
Netherlands: 2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2015,Czech Republic,77,"Portugal, France: 2014 data; Austria, Cyprus, Greece, Hungary, Ireland, Slovenia: 2013 data; Czech Republic: 2012 data; Croatia,
Netherlands: 2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2015,Denmark,"1,497","Portugal, France: 2014 data; Austria, Cyprus, Greece, Hungary, Ireland, Slovenia: 2013 data; Czech Republic: 2012 data; Croatia,
Netherlands: 2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2015,Estonia,n.a,"Portugal, France: 2014 data; Austria, Cyprus, Greece, Hungary, Ireland, Slovenia: 2013 data; Czech Republic: 2012 data; Croatia,
Netherlands: 2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2015,Finland,172,"Portugal, France: 2014 data; Austria, Cyprus, Greece, Hungary, Ireland, Slovenia: 2013 data; Czech Republic: 2012 data; Croatia,
Netherlands: 2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2015,France,"4,564","Portugal, France: 2014 data; Austria, Cyprus, Greece, Hungary, Ireland, Slovenia: 2013 data; Czech Republic: 2012 data; Croatia,
Netherlands: 2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2015,Germany,"6,216","Portugal, France: 2014 data; Austria, Cyprus, Greece, Hungary, Ireland, Slovenia: 2013 data; Czech Republic: 2012 data; Croatia,
Netherlands: 2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2015,Greece,80,"Portugal, France: 2014 data; Austria, Cyprus, Greece, Hungary, Ireland, Slovenia: 2013 data; Czech Republic: 2012 data; Croatia,
Netherlands: 2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2015,Hungary,179,"Portugal, France: 2014 data; Austria, Cyprus, Greece, Hungary, Ireland, Slovenia: 2013 data; Czech Republic: 2012 data; Croatia,
Netherlands: 2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2015,Iceland,n.a,"Portugal, France: 2014 data; Austria, Cyprus, Greece, Hungary, Ireland, Slovenia: 2013 data; Czech Republic: 2012 data; Croatia,
Netherlands: 2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2015,Ireland,305,"Portugal, France: 2014 data; Austria, Cyprus, Greece, Hungary, Ireland, Slovenia: 2013 data; Czech Republic: 2012 data; Croatia,
Netherlands: 2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2015,Italy,"1,415","Portugal, France: 2014 data; Austria, Cyprus, Greece, Hungary, Ireland, Slovenia: 2013 data; Czech Republic: 2012 data; Croatia,
Netherlands: 2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
2015,Latvia,n.a,"Portugal, France: 2014 data; Austria, Cyprus, Greece, Hungary, Ireland, Slovenia: 2013 data; Czech Republic: 2012 data; Croatia,
Netherlands: 2011 data
Belgium, Croatia, Denmark, France, Germany, Greece, Ireland, Italy, Netherlands, Norway (LMI members), Poland, Romania,
Slovenia, Sweden (LIF members), Switzerland (Interpharma members), Turkey: estimate"
